"wavelength","k"
590.06,23282.6338801898
590.51,23504.9516050674
590.96,23930.3411936171
591.41,24435.8533577488
591.86,24674.7636309279
592.31,25076.5349975709
592.76,25496.6179603124
593.21,26036.3242273628
593.66,26316.1926828357
594.11,26876.1911880115
594.56,27243.3573750888
595.01,27558.3168279831
595.46,28014.1634590231
595.91,28431.256773422
596.36,28813.8196494637
596.81,29319.7802608468
597.26,29731.230613999
597.71,30504.3910460032
598.16,30862.9246234912
598.61,31220.1502298292
599.06,31243.9926753616
599.51,31734.4818565716
599.96,32199.5963974738
600.41,32602.4141410367
600.86,33228.8575806271
601.31,33806.71923465
601.76,33988.3777420681
602.21,33879.5919130012
602.65,34494.3383534512
603.1,35188.9831458575
603.55,35084.5323068874
604,35736.9483164543
604.45,36063.6421390934
604.9,36133.6746515191
605.35,36750.1401397661
605.8,37305.654172428
606.25,36865.6153069995
606.7,37478.9042938824
607.15,37417.6538734631
607.6,38579.31910759
608.05,38041.6308531709
608.5,38463.6197167308
608.95,37948.5406779028
609.39,38839.904331253
609.84,38972.7194588736
610.29,39015.9572480287
610.74,38734.0707799245
611.19,39188.4973280018
611.64,39190.776934863
612.09,38844.1645801413
612.54,39112.8218543294
612.99,39068.2760940244
613.44,38676.1089726821
613.88,38697.0365110804
614.33,39101.1995963975
614.78,39290.7059307149
615.23,39091.4084980754
615.68,38102.4328263388
616.13,38561.1196233043
616.58,38470.6080197317
617.03,37899.659927501
617.47,38524.197466273
617.92,38098.0230950334
618.37,38270.6379162151
618.82,37481.893942225
619.27,37600.7324638439
619.72,37946.7842595015
620.17,37641.5411637206
620.61,37540.3415673231
621.06,37955.5663515079
621.51,37091.5953510968
621.96,36734.7434508016
622.41,36926.9030980231
622.86,36429.1266489779
623.3,36217.7211405508
623.75,36208.0421540416
624.2,36413.2441421578
624.65,35899.4357038753
625.1,36133.5999103105
625.54,35896.1844613027
625.99,36000.6353002728
626.44,35810.3068126612
626.89,35583.7662094996
627.34,35605.2169363579
627.78,35692.2904443365
628.23,35474.0461153257
628.68,35296.535744983
629.13,35524.8327665458
629.58,35354.7965170597
630.02,35346.9486901603
630.47,35420.5687805972
630.92,35511.1551253784
631.37,35925.1840502261
631.81,35426.6601890953
632.26,36238.3497141149
632.71,35970.0661459696
633.16,36313.5019993273
633.61,35908.6288725289
634.05,36046.6385141448
634.5,36066.5570462274
634.95,36439.852012407
635.4,36325.4232220935
635.84,36899.2862214582
636.29,37137.7106767816
636.74,37222.7288015247
637.18,37682.050898763
637.63,37868.3433611121
638.08,37590.567659479
638.53,37299.3759109085
638.97,38387.1220897642
639.42,38349.5272618558
639.87,38791.0983220599
640.32,38915.392951904
640.76,39687.5817481968
641.21,40525.2064725887
641.66,39951.3808438282
642.1,40286.7072760567
642.55,40737.2099106843
643,40916.9251466796
643.44,40828.6557793639
643.89,41533.2411525095
644.34,41732.7254381703
644.79,41607.6460256362
645.23,42373.1081131582
645.68,42563.2123771442
646.13,43474.5319331814
646.57,42989.9099368437
647.02,43625.9576217347
647.47,44432.6768563848
647.91,44976.1201838634
648.36,45759.1464553982
648.81,45178.1456706155
649.25,46273.4407115363
649.7,44980.7167681901
650.15,46484.7714787548
650.59,47955.8653163422
651.04,48440.7489069098
651.48,47955.2300160693
651.93,48097.2009417392
652.38,48605.9643484435
652.82,47952.800926791
653.27,47515.9385627266
653.72,47396.6889644606
654.16,48506.8201352816
654.61,49117.8668859076
655.06,49450.3157816062
655.5,49267.9098621025
655.95,49742.6286483052
656.39,50760.2675735267
656.84,51039.7623229568
657.29,50473.2239620315
657.73,49015.6582831944
658.18,49866.1384954595
658.62,51843.6787622856
659.07,50816.2861093464
659.52,51296.4983743787
659.96,51208.6027131059
660.41,52354.1985873912
660.85,53637.1688030195
661.3,51072.0131544527
661.74,50940.4686273777
662.19,49774.7673679884
662.64,54842.40816174
663.08,50621.2862961994
663.53,50594.9026495759
663.97,52558.428939796
664.42,52641.0179752607
664.86,51752.4944878359
665.31,51618.8198363168
665.75,51228.3717627714
666.2,52919.8400538137
666.65,50838.1105422475
667.09,53051.7956575358
667.54,53102.5449381517
667.98,50238.5365671363
668.43,50631.3763593557
668.87,50915.0192458612
669.32,51582.6450913711
669.76,49367.5398931201
670.21,49889.9061997833
670.65,49609.6640382675
671.1,49057.0649127396
671.54,48378.2652565492
671.99,47290.8927837363
672.43,47971.9346761837
672.88,47192.9070593071
673.32,47158.8250682014
673.77,46535.8570948092
674.21,44843.2676856385
674.66,44381.7780933518
675.1,43388.8785081655
675.55,44288.0899884151
675.99,42636.9819499981
676.44,41747.225232632
676.88,40960.5740124818
677.33,40453.4549123659
677.77,38842.1839381143
678.22,38784.8200605404
678.66,37414.0289248477
679.11,36544.3028513771
679.55,35185.6945326806
679.99,34345.3417541762
680.44,33606.7117605292
680.88,32455.5476662058
681.33,31060.3161553122
681.77,30292.6865727419
682.22,29520.9088530962
682.66,28411.5250943608
683.11,27354.3854404126
683.55,26316.6411300871
683.99,25490.9002578572
684.44,24511.5288314212
684.88,23657.984229605
685.33,22768.900183116
685.77,22005.9792966852
686.21,21210.99443178
686.66,20473.7097798871
687.1,19543.5928098957
687.55,18838.2226540603
687.99,18130.4234089465
688.44,17378.638962592
688.88,16826.2266900856
689.32,16144.5494973654
689.77,15541.2384618259
690.21,14903.0606524908
690.65,14352.7411338241
691.1,13797.2271011622
691.54,13259.6135879517
691.99,12800.627826152
692.43,12291.1543779663
692.87,11795.4333121567
693.32,11377.2562502336
693.76,10962.7788781345
694.2,10501.4387682649
694.65,10173.4369744759
695.09,9770.20815426585
695.53,9430.35987891924
695.98,9019.69430845697
696.42,8715.87129563885
696.86,8419.93348032438
697.31,8106.76781643559
697.75,7838.70847191599
698.19,7547.66620576255
698.64,7306.28947270077
699.08,7062.59576217348
699.52,6820.69584065175
699.97,6599.05078665122
700.41,6398.22115923614
700.85,6211.7792144699
701.3,5980.94099181584
701.74,5857.76748010015
702.18,5611.42045666878
702.63,5497.44011360664
703.07,5255.16648604208
703.51,5169.55043163048
703.96,4956.50061661497
704.4,4847.07948727531
704.84,4658.05897081356
705.28,4570.94809223065
705.73,4441.34683657835
706.17,4284.35292798685
706.61,4141.59721962704
707.06,4107.21626368698
707.5,3982.47318659143
707.94,3865.2042303524
708.38,3801.41260884188
708.83,3723.71912253821
709.27,3615.19488770133
709.71,3572.81662244479
710.15,3450.91371127471
710.6,3328.97342950035
711.04,3276.6919541089
711.48,3258.30561680182
711.92,3157.70395007287
712.37,3099.89162524758
712.81,3037.22112186554
713.25,2929.70589334429
713.69,2895.51179042565
714.13,2867.25961358795
714.58,2788.33289734295
715.02,2766.8821704847
715.46,2687.13330094548
715.9,2647.55783101013
716.35,2626.63029261183
716.79,2577.48794798012
717.23,2521.54415336896
717.67,2448.03617474495
718.11,2391.56919167383
718.56,2401.80873724728
719,2380.54486341044
719.44,2346.46287230465
719.88,2231.80985836541
720.32,2297.28315706865
720.76,2175.23076348145
721.21,2175.23076348145
721.65,2168.72827833626
722.09,2065.84700474607
722.53,2061.47464404499
722.97,2031.9144960574
723.41,1969.31873388393
723.86,1931.23808811988
724.3,1918.08363541238
724.74,1939.31013864494
725.18,1878.91924212415
725.62,1851.4144773721
726.06,1861.87824657125
726.5,1800.70256736051
726.95,1811.27844837251
727.39,1793.78900556822
727.83,1758.21219029112
728.27,1703.61373743413
728.71,1655.55514032662
729.15,1703.05317836989
729.59,1613.13950446579
730.03,1617.2129003326
730.48,1553.34653761351
730.92,1583.76620949961
731.36,1552.97283157069
731.8,1532.34425800665
732.24,1479.46485294667
732.68,1439.5156769685
733.12,1448.70884562203
733.56,1425.53907096678
734,1466.38514144774
