"wavelength","k"
365.2,918.569453268059
365.66,834.859299674875
366.12,828.917373593931
366.59,823.685488994357
367.05,828.35681452969
367.51,829.552673866736
367.98,820.882693673157
368.44,837.811577413206
368.9,811.951119249597
369.37,794.312194028177
369.83,864.083112223925
370.29,838.783213124556
370.76,826.824619754101
371.22,844.314062558391
371.68,830.187974139542
372.15,788.519750364363
372.61,831.907021936544
373.07,832.878657647894
373.54,837.886318621772
374,823.162300534399
374.46,865.503195186666
374.92,870.88456220337
375.39,872.043050936134
375.85,840.689113942972
376.31,746.477820546358
376.78,809.484659366942
377.24,792.368922605478
377.7,822.34014724018
378.16,872.827833626069
378.63,827.310437609776
379.09,886.281251167831
379.55,822.713853283007
380.01,856.085802907433
380.48,833.214993086438
380.94,855.151537800366
381.4,859.785492731418
381.87,866.213236668037
382.33,896.745020366979
382.79,867.708060839344
383.25,869.202885010651
383.72,904.966553309167
384.18,931.238088119885
384.64,892.036324227363
385.1,917.784670578123
385.56,963.526290220113
386.03,876.938600097163
386.49,936.432602115176
386.95,930.19171119997
387.41,961.994095444523
387.88,925.632497477484
388.34,952.315108935311
388.8,1019.50745543555
389.26,944.616764453081
389.72,970.028775365297
390.19,994.207556336186
390.65,933.181359542583
391.11,985.051758286931
391.57,930.004858178557
392.04,1018.61056093277
392.5,1035.35259165141
392.96,1012.89285847752
393.42,1005.68033185097
393.88,1011.58488732763
394.34,1075.60073246384
394.81,1034.60517956575
395.27,1027.05631750065
395.73,985.31335251691
396.19,1010.01532194776
396.65,978.399790724616
397.12,954.034156732314
397.58,1041.25714712807
398.04,977.129190179006
398.5,1016.44306588438
398.96,960.947718524609
399.42,972.009417392279
399.89,966.665420979857
400.35,933.592436189693
400.81,959.452894353302
401.27,903.546470346426
401.73,911.730632684331
402.19,865.391083373818
402.65,875.966964385814
403.12,864.793153705295
403.58,829.552673866736
404.04,795.732276990919
404.5,814.753914570798
404.96,769.684965805896
405.42,714.787548114653
405.88,765.798422960499
406.34,734.145521133076
406.81,725.288687918083
407.27,653.312904069658
407.73,680.032886131768
408.19,645.390335961732
408.65,627.601928323181
409.11,637.990956313763
409.57,607.720766844799
410.03,589.596023767704
410.49,570.79860981352
410.96,576.553682873052
411.42,599.910310549722
411.88,492.17085840278
412.34,543.592809895736
412.8,511.155125378377
413.26,484.173549086289
413.72,437.497664337232
414.18,426.510706678127
414.64,468.477895287566
415.1,423.147352292686
415.56,489.853880937255
416.02,474.68141559849
416.48,439.328823947083
416.95,420.606151201465
417.41,408.572816622444
417.87,414.66422512052
418.33,435.815987144512
418.79,433.087933031877
419.25,442.168989872566
419.71,430.509361336373
420.17,406.181097948354
420.63,401.248178183041
421.09,470.271684293135
421.55,441.608430808326
422.01,376.919914795022
422.47,386.449418887103
422.93,437.04921708584
423.39,461.377480473859
423.85,462.311745580926
424.31,455.846631040024
424.77,448.484621996338
425.23,453.492282970216
425.69,435.105945663141
426.15,492.806158675585
426.61,394.596210620726
427.07,491.498187525692
427.53,449.456257707687
427.99,452.744870884562
428.45,490.676034231474
428.91,482.79083672783
429.37,507.193841324414
429.83,486.789491386075
430.29,492.880899884151
430.75,519.600881946261
431.21,512.425725923988
431.67,570.08856833215
432.13,580.963414178407
432.59,586.980081467917
433.05,525.31858440151
433.51,522.254194850331
433.97,559.811652154415
434.43,545.797675548413
434.89,617.773459396838
435.35,567.285773010949
435.81,572.293433984827
436.27,623.304308830674
436.73,598.303374565567
437.19,619.604619006689
437.65,602.638364662356
438.11,598.266003961284
438.57,560.185358197242
439.03,681.677192720206
439.48,684.330505624276
439.94,655.144063679509
440.4,640.494786800703
440.86,684.181023207145
441.32,654.284539781008
441.78,691.094584999439
442.24,728.166224447849
442.7,681.789304533054
443.16,654.994581262379
443.62,708.322433573751
444.08,775.589521282559
444.54,685.451623752756
444.99,724.840240666691
445.45,740.423782652565
445.91,723.195934078254
446.37,762.136103740797
446.83,766.246870211891
447.29,775.365297656863
447.75,768.862812511678
448.21,781.232482529242
448.67,808.924100302702
449.12,848.163234799506
449.58,805.074928061587
450.04,842.071826301431
450.5,878.769759707014
450.96,829.552673866736
451.42,886.505474793527
451.88,882.76841436526
452.34,862.139840801225
452.79,907.545125004671
453.25,854.217272693299
453.71,974.326394857804
454.17,956.612728427819
454.63,877.013341305729
455.09,952.57670316529
455.55,923.577114241937
456,992.4511379349
456.46,972.457864643671
456.92,983.930640158451
457.38,998.430434620127
457.84,1042.93882432079
458.3,996.076086550319
458.75,1027.09368810494
459.21,1079.67412833065
459.67,1116.33469113195
460.13,1099.10684255764
460.59,1076.57236817519
461.04,1112.33603647371
461.5,1136.81378227886
461.96,1094.73448185657
462.42,1095.48189394222
462.88,1134.5715460219
463.33,1127.13479576965
463.79,1194.77558952128
464.25,1165.10332972084
464.71,1209.20064277439
465.17,1189.43159310886
465.62,1213.16192682836
466.08,1212.33977353414
466.54,1242.8341866288
467,1281.84909749991
467.46,1248.2155536455
467.91,1237.04174296498
468.37,1312.0445457603
468.83,1317.35117156844
469.29,1355.76815277103
469.74,1301.99185320827
470.2,1322.80727979371
470.66,1305.8036548451
471.12,1366.68036922157
471.57,1379.19952165627
472.03,1397.81008258904
472.49,1379.3490040734
472.95,1388.05635487126
473.4,1421.12933966142
473.86,1397.54848835906
474.32,1445.19600881946
474.78,1489.70439852012
475.23,1503.49415150043
475.69,1560.89539967861
476.15,1500.16816771927
476.6,1558.24208677454
477.06,1496.54321910385
477.52,1533.80171157368
477.98,1551.62748981651
478.43,1601.70409955529
478.89,1582.45823834971
479.35,1618.67035389962
479.8,1575.24571172316
480.26,1604.73111850219
480.72,1605.03008333645
481.18,1675.06259576217
481.63,1674.31518367652
482.09,1638.06569752233
482.55,1690.94510258231
483,1684.7042116671
483.46,1709.5182929108
483.92,1688.85234874248
484.37,1727.64303598789
484.83,1699.68982398445
485.29,1772.11405508427
485.74,1762.80877461788
486.2,1752.643970253
486.66,1799.13300198064
487.11,1796.29283605516
487.57,1836.24201203333
488.03,1815.837662095
488.48,1782.68993609627
488.94,1831.68279831085
489.4,1856.83321499309
489.85,1911.46903845435
490.31,1916.70092305393
490.77,1906.87245412758
491.22,1897.86613849546
491.68,1877.38704734856
492.13,1947.45693037856
492.59,1895.73601405135
493.05,1969.95403415673
493.5,1909.4136552188
493.96,1920.43798348219
494.42,1906.12504204193
494.87,1955.90268694645
495.33,2047.46066743899
495.78,1946.56003587578
496.24,1953.69782129377
496.7,2013.60289995889
497.15,2023.43136888523
497.61,1984.52856982697
498.06,2000.14948241713
498.52,2009.45476288352
498.98,1992.63799095631
499.43,1990.80683134646
499.89,1973.57898277215
